,gov,pce,inv
2010-07-01,0.8851315629588581,0.7957603510135418,0.5984688991918117
2010-10-01,0.8932352027996644,0.8021494452302274,0.6017242188153218
2011-01-01,0.9021760150426146,0.8105144922309981,0.604584010725111
2011-04-01,0.9111865775694716,0.8202993167138151,0.6096621674745717
2011-07-01,0.914660038851776,0.8249145853886755,0.6114908074551111
2011-10-01,0.9133230693286429,0.828215024513677,0.6136341353133745
2012-01-01,0.9167785490608877,0.8348152862535874,0.6184557148366054
2012-04-01,0.9189876070934768,0.8372248620286711,0.6213943376954458
2012-07-01,0.9209073174060474,0.8401256241888828,0.6254457733080172
2012-10-01,0.9221289488570119,0.8457233322606688,0.6269529956992739
2013-01-01,0.9214340656957591,0.84921783958151,0.6272562589183841
2013-04-01,0.9230652243376585,0.8497310172622128,0.6304401937120798
2013-07-01,0.9265710902762332,0.8538374130142015,0.6335828542379436
2013-10-01,0.941836022227736,0.8575115343964241,0.6393533063478487
2014-01-01,0.9392010835025633,0.8620930402076561,0.6460659155890842
2014-04-01,0.9434136592963625,0.8665609955314566,0.64813647948101
2014-07-01,0.9481009269622711,0.8692856107588196,0.6535284842116948
2014-10-01,0.9494229532366512,0.8679602159002804,0.6555735059087611
2015-01-01,0.9474751736015086,0.8634675398427327,0.6580098574610829
2015-04-01,0.9494127116897677,0.8684433151454543,0.65771578007605
2015-07-01,0.950323798863979,0.8710398261974617,0.6582227560765257
2015-10-01,0.949105416499592,0.8702708122916802,0.6562440945277879
2016-01-01,0.947998371274442,0.8707630493137404,0.6528051126575565
2016-04-01,0.953307167785661,0.8770892412389295,0.6560510923787706
2016-07-01,0.9571966781517411,0.880536941866914,0.6574216161840671
2016-10-01,0.9621334579899359,0.8851053568968674,0.662551986106696
2017-01-01,0.9668648426984032,0.8909198247597003,0.6659073727307736
2017-04-01,0.9701003435565521,0.8929273738158598,0.6709644764826552
2017-07-01,0.9744846910768081,0.8964509009848336,0.6744114982249108
2017-10-01,0.9816304932368243,0.9024284432912562,0.6759861761400399
2018-01-01,0.9911056820712418,0.9093968366947034,0.6812601932812963
2018-04-01,0.99794875437069,0.914630699457986,0.6862305838024123
2018-07-01,1.0031063143135825,0.9179809176126521,0.6900477953832307
2018-10-01,1.0103692267311888,0.9217682093487096,0.6919705521877684
2019-01-01,1.019510382615159,0.9238023425996222,0.6969758905747736
2019-04-01,1.0128329933038258,0.9293773847933884,0.7010729208537962
2019-07-01,1.0137649463893168,0.9317820097829448,0.7031490797368369
2019-10-01,1.0173979851196466,0.9357096614208991,0.702838900023981
2020-01-01,1.020417057233597,0.9387889925413142,0.706255258299318
2020-04-01,1.0210560074696695,0.934796511519171,0.7097851502812067
2020-07-01,1.02650385060613,0.9428800724410498,0.7146544244701665
2020-10-01,1.0339382672132698,0.9477142177057432,0.7203006755518522
2021-01-01,1.0415887109554798,0.9589382522024192,0.7271554798501358
2021-04-01,1.0523091376520415,0.9743914581822568,0.7367789062842367
2021-07-01,1.0640489061481815,0.9880971562955261,0.7537457891801203
2021-10-01,1.0763472863096486,1.0044648738040522,0.7734875336041775
2022-01-01,1.0922499701055295,1.0230724589656837,0.7967114806355435
2022-04-01,1.1103044641594138,1.0412796033763247,0.819977574518433
2022-07-01,1.1232903658187374,1.052814589409452,0.8368900315307948
2022-10-01,1.133455082653724,1.062662193927602,0.846282228231964
2023-01-01,1.1439560245544187,1.0723299632970478,0.8549294299766701
2023-04-01,1.1525606653588754,1.079528264121921,0.8546046316194595
2023-07-01,1.1619120484298748,1.0861710435090033,0.8581218241549133
2023-10-01,1.1713080575213648,1.0902706438280476,0.863799660316904
2024-01-01,1.1800312512058047,1.098689174859834,0.8661079116880095
2024-04-01,1.1869845029875363,1.1049386357606896,0.8724773599734896
2024-07-01,1.19303119594128,1.1087601623812051,0.8803419509468573
2024-10-01,1.1996079036215517,1.1146499971134625,0.8842390435959353
2025-01-01,1.213411931335854,1.123631219436343,0.8872748784400026
2025-04-01,1.2305830149433752,1.1286028769916805,0.886879772905401
