,gov,cpi
1980-01-01,-0.03525768107791594,-0.11730582186234884
1980-04-01,0.0026704798965710985,-0.08080082448749426
1980-07-01,0.012755393481409971,-0.060004968025007877
1980-10-01,0.042413893749637666,-0.03489904689393164
1981-01-01,0.062206075677703865,-0.00581031763700679
1981-04-01,0.08519333298584986,0.015744685924823365
1981-07-01,0.10687948155616844,0.04232432372953543
1981-10-01,0.12586754291354607,0.06287669668285645
1982-01-01,0.14170340655412517,0.07352642459951486
1982-04-01,0.16133217117525556,0.07986224304860023
1982-07-01,0.169675832902628,0.10583772945186087
1982-10-01,0.18142225700222303,0.11197271801937703
1983-01-01,0.18329687849182497,0.10993190098452388
1983-04-01,0.1909790936215625,0.1190829562018818
1983-07-01,0.202003700537146,0.12915353476547775
1983-10-01,0.20851332626608032,0.13912370708532773
1984-01-01,0.22138560484521141,0.15193807661867886
1984-04-01,0.23130506484742197,0.16362272757365215
1984-07-01,0.2460642496076293,0.17133732706898286
1984-10-01,0.25830153533220646,0.18089762933096498
1985-01-01,0.25430746990685904,0.1865902443242513
1985-04-01,0.25666487375573865,0.19881418590996525
1985-07-01,0.26199462570509136,0.20533493561040217
1985-10-01,0.26853112739962803,0.2127355244285738
1986-01-01,0.26599873678765906,0.2255562128576356
1986-04-01,0.26350058878835725,0.21457714557522323
1986-07-01,0.2649230641349001,0.22190990070461503
1986-10-01,0.26603930556187905,0.2282822481668738
1987-01-01,0.2643543167855724,0.23911267894124322
1987-04-01,0.26907728258195585,0.25071477249379015
1987-07-01,0.2762908382124869,0.2604278731402898
1987-10-01,0.27837667932171994,0.27091747981130965
1988-01-01,0.29192845131585665,0.27957554255442396
1988-04-01,0.3017040078559412,0.289867228590972
1988-07-01,0.3074031410893934,0.3008983120232456
1988-10-01,0.31542815071982844,0.3126434134815277
1989-01-01,0.3228145042218169,0.32342742508327316
1989-04-01,0.3301276746862949,0.3389823846384674
1989-07-01,0.3350997880153552,0.35029106735282145
1989-10-01,0.3386712541270347,0.3574939796468799
1990-01-01,0.3456637638215785,0.37410171604654074
1990-04-01,0.3626946985457602,0.3850222613932015
1990-07-01,0.3640381045575718,0.3973585782108078
1990-10-01,0.3758665041502396,0.4193374849295832
1991-01-01,0.3848045046697304,0.4290354348643781
1991-04-01,0.3897098663706715,0.4320005964142126
1991-07-01,0.40249744556265243,0.440109745163471
1991-10-01,0.412551497697208,0.44742506673984384
1992-01-01,0.41402206045237433,0.45541059011877216
1992-04-01,0.41765417368801705,0.4633328497744831
1992-07-01,0.4263488997229765,0.47119284022186037
1992-10-01,0.4326017730678502,0.4796974981446942
1993-01-01,0.4351057189463208,0.487430401353544
1993-04-01,0.43948112116492455,0.49440879673500593
1993-07-01,0.4467029641228968,0.4992648590005464
1993-10-01,0.4556197804704678,0.5068484872106449
1994-01-01,0.46020725168204146,0.511644659474138
1994-04-01,0.46855782253040124,0.5177775577428356
1994-07-01,0.47427306768752553,0.5258966821813393
1994-10-01,0.48245847324202407,0.5326126241467763
1995-01-01,0.49085286123655303,0.5399484356369895
1995-04-01,0.4974890356547301,0.5485492164095893
1995-07-01,0.5026575864865621,0.5538054702984159
1995-10-01,0.5163638367991772,0.5596859184753109
1996-01-01,0.518714088285209,0.5674731090270795
1996-04-01,0.513342997049905,0.5764821789694459
1996-07-01,0.5191393822563835,0.5822311567963672
1996-10-01,0.5225509329456268,0.5898454067816132
1997-01-01,0.5259665257687725,0.5974021178041742
1997-04-01,0.5325143166856736,0.6005339712879678
1997-07-01,0.534826958861236,0.6036560468804737
1997-10-01,0.541794551568771,0.6104904941107705
1998-01-01,0.5375981802035752,0.6135816866804431
1998-04-01,0.544024412626674,0.6148154931293721
1998-07-01,0.5505317122556197,0.6209617939780658
1998-10-01,0.5537467326618022,0.6252418371978434
1999-01-01,0.5569666136350784,0.630110988631654
1999-04-01,0.565362283939447,0.6373705486444585
1999-07-01,0.5743886832711937,0.6421811412048077
1999-10-01,0.5866077086444528,0.6505443918626295
2000-01-01,0.5963057132222294,0.657657640587149
2000-04-01,0.6001325918604077,0.6670639415696051
2000-07-01,0.6072669515594415,0.6775413366006919
2000-10-01,0.6117701999203642,0.6844657728082968
2001-01-01,0.6134913213687248,0.6941940326490759
2001-04-01,0.6187225203202806,0.6987394950207504
2001-07-01,0.6251028751917347,0.7043924213235382
2001-10-01,0.6315694495570594,0.7055191820061291
2002-01-01,0.6380224424200978,0.7060820866086654
2002-04-01,0.6474306089024799,0.7150457320591466
2002-07-01,0.6559822672026852,0.7189422023382699
2002-10-01,0.6743536300380657,0.7255867450569387
2003-01-01,0.6851365624601011,0.7332833196089279
2003-04-01,0.692234635647385,0.7365638036880897
2003-07-01,0.7012404388289437,0.7392893436691397
2003-10-01,0.7086946692729428,0.7458004898411383
2004-01-01,0.7171666025056633,0.7533436290556024
2004-04-01,0.7258107437487751,0.759230721252381
2004-07-01,0.7349266933806358,0.7682613271124712
2004-10-01,0.7446141092897975,0.7772111104622459
2005-01-01,0.7576883129425176,0.7813952169848193
2005-04-01,0.7666670627692729,0.7922959218610099
2005-07-01,0.7770515244939742,0.7984719579615742
2005-10-01,0.7842050644628169,0.8197925625182103
2006-01-01,0.7925905299518923,0.8207965786668083
2006-04-01,0.7995389819770344,0.8277966072503515
2006-07-01,0.8069120032156518,0.8386985982798283
2006-10-01,0.8121067589003181,0.8337578767668514
2007-01-01,0.820623621725487,0.8413417260906311
2007-04-01,0.828583285493679,0.8533953921993689
2007-07-01,0.8354476157662165,0.8616129535024326
2007-10-01,0.8434272632430999,0.8692282813490886
2008-01-01,0.8518293876786136,0.8833920442020844
2008-04-01,0.8620185980727393,0.8916903016977917
2008-07-01,0.8694903355682055,0.9151301379565862
2008-10-01,0.8647197638945516,0.9058596632484059
2009-01-01,0.8562908139451317,0.8822555384337729
2009-04-01,0.8564706559094906,0.8859103858761426
2009-07-01,0.8595230311626607,0.8953481482090755
2009-10-01,0.8671801731626902,0.9036174684653764
2010-01-01,0.8735313713640189,0.9081290280409515
2010-04-01,0.8811701215935206,0.9077381254879793
2010-07-01,0.8851315629588581,0.9086668441070342
2010-10-01,0.8932352027996644,0.9152168858467258
2011-01-01,0.9021760150426146,0.9249938490256149
2011-04-01,0.9111865775694716,0.9380464957117525
2011-07-01,0.914660038851776,0.943839770021536
2011-10-01,0.9133230693286429,0.9498334404433058
2012-01-01,0.9167785490608877,0.9546377577230309
2012-04-01,0.9189876070934768,0.9605236156573715
2012-07-01,0.9209073174060474,0.9579153573200161
2012-10-01,0.9221289488570119,0.9711611596809977
2013-01-01,0.9214340656957591,0.9713381443377536
2013-04-01,0.9230652243376585,0.9718473400784156
2013-07-01,0.9265710902762332,0.9765945283383548
2013-10-01,0.941836022227736,0.9798909354993475
2014-01-01,0.9392010835025633,0.9867956471558657
2014-04-01,0.9434136592963625,0.9917982436713784
2014-07-01,0.9481009269622711,0.9961445538346663
2014-10-01,0.9494229532366512,0.9958581946372105
2015-01-01,0.9474751736015086,0.9844936899020569
2015-04-01,0.9494127116897677,0.9907573922795185
2015-07-01,0.950323798863979,0.9983988720592816
2015-10-01,0.949105416499592,0.9971335466367126
2016-01-01,0.947998371274442,0.9967927702100949
2016-04-01,0.953307167785661,1.0024154300159962
2016-07-01,0.9571966781517411,1.0070450195978724
2016-10-01,0.9621334579899359,1.0138522565465822
2017-01-01,0.9668648426984032,1.0215867761795652
2017-04-01,0.9701003435565521,1.023944247685149
2017-07-01,0.9744846910768081,1.0241489827995736
2017-10-01,0.9816304932368243,1.0338583705215942
2018-01-01,0.9911056820712418,1.0428718224639155
2018-04-01,0.99794875437069,1.0483538573276743
2018-07-01,1.0031063143135825,1.0522905169731827
2018-10-01,1.0103692267311888,1.0584732480928052
2019-01-01,1.019510382615159,1.0576381551451357
2019-04-01,1.0128329933038258,1.0681622049036603
2019-07-01,1.0137649463893168,1.070389059170524
2019-10-01,1.0173979851196466,1.0756643673842907
2020-01-01,1.020417057233597,1.0833036404568999
2020-04-01,1.0210560074696695,1.0712877881157725
2020-07-01,1.02650385060613,1.0803083475873247
2020-10-01,1.0339382672132698,1.0878931534854717
2021-01-01,1.0415887109554798,1.0967658171410015
2021-04-01,1.0523091376520415,1.111828528239574
2021-07-01,1.0640489061481815,1.131658732993941
2021-10-01,1.0763472863096486,1.1482974331061966
2022-01-01,1.0922499701055295,1.1698125635502556
2022-04-01,1.1103044641594138,1.1909646257803663
2022-07-01,1.1232903658187374,1.212757297270854
2022-10-01,1.133455082653724,1.223008365671693
2023-01-01,1.1439560245544187,1.23128667207353
2023-04-01,1.1525606653588754,1.2392494002434784
2023-07-01,1.1619120484298748,1.245034035607989
2023-10-01,1.1713080575213648,1.2549578759278246
2024-01-01,1.1800312512058047,1.2618929119095146
2024-04-01,1.1869845029875363,1.272239658892584
2024-07-01,1.19303119594128,1.2739952156792693
2024-10-01,1.1996079036215517,1.2803468654724144
2025-01-01,1.213411931335854,1.2914460103758714
2025-04-01,1.2305830149433752,1.2953089694481639
